iter	Passed	Remaining
402	9070	13436
403	9091	13412
404	9114	13390
405	9134	13364
406	9155	13339
407	9173	13311
408	9196	13288
409	9216	13263
410	9236	13236
411	9256	13210
412	9276	13185
413	9297	13160
414	9316	13133
415	9335	13105
416	9354	13078
417	9373	13050
418	9394	13027
419	9414	13001
420	9434	12974
421	9453	12948
422	9475	12924
423	9496	12900
424	9516	12874
425	9536	12849
426	9555	12822
427	9575	12796
428	9597	12773
429	9619	12751
430	9641	12729
431	9662	12704
432	9682	12678
433	9702	12653
434	9725	12631
435	9744	12605
436	9763	12578
437	9782	12552
438	9804	12529
439	9823	12503
440	9843	12477
441	9861	12449
442	9883	12427
443	9904	12403
444	9925	12379
445	9945	12353
446	9964	12327
447	9984	12302
448	10010	12284
449	10030	12259
450	10050	12234
451	10071	12210
452	10094	12189
453	10115	12165
454	10136	12141
455	10154	12114
456	10173	12087
457	10194	12063
458	10213	12037
459	10232	12012
460	10253	11988
461	10276	11967
462	10296	11942
463	10317	11918
464	10335	11891
465	10354	11865
466	10376	11843
467	10398	11820
468	10417	11794
469	10437	11769
470	10456	11743
471	10475	11718
472	10498	11696
473	10517	11671
474	10537	11646
475	10556	11620
476	10575	11595
477	10598	11574
478	10618	11549
479	10642	11529
480	10662	11505
481	10682	11479
482	10702	11456
483	10725	11435
484	10744	11409
485	10763	11383
486	10781	11357
487	10800	11331
488	10823	11310
489	10842	11285
490	10862	11260
491	10881	11235
492	10903	11213
493	10923	11188
494	10942	11163
495	10960	11137
496	10980	11113
497	11006	11095
498	11026	11070
499	11045	11045
500	11065	11021
501	11089	11001
502	11109	10977
503	11131	10954
504	11150	10929
505	11170	10905
506	11190	10881
507	11209	10856
508	11229	10832
509	11250	10809
510	11269	10783
511	11288	10759
512	11308	10735
513	11330	10713
514	11354	10692
515	11374	10668
516	11395	10646
517	11415	10622
518	11437	10599
519	11455	10574
520	11472	10547
521	11493	10524
522	11513	10501
523	11532	10476
524	11554	10453
525	11578	10434
526	11598	10409
527	11617	10385
528	11640	10364
529	11660	10340
530	11680	10316
531	11700	10292
532	11719	10268
533	11739	10244
534	11759	10220
535	11778	10196
536	11797	10171
537	11818	10149
538	11840	10126
539	11858	10101
540	11876	10076
541	11896	10052
542	11916	10028
543	11934	10004
544	11957	9982
545	11978	9960
546	12000	9938
547	12020	9914
548	12039	9890
549	12060	9867
550	12084	9847
551	12103	9823
552	12122	9798
553	12143	9775
554	12162	9751
555	12182	9728
556	12201	9704
557	12221	9680
558	12240	9656
559	12264	9636
560	12284	9613
561	12303	9588
562	12322	9564
563	12344	9543
564	12365	9519
565	12384	9496
566	12403	9472
567	12421	9447
568	12443	9425
569	12461	9400
570	12482	9377
571	12502	9354
572	12519	9329
573	12539	9306
574	12561	9284
575	12579	9260
576	12600	9237
577	12622	9215
578	12642	9192
579	12662	9169
580	12685	9148
581	12707	9126
582	12728	9104
583	12750	9082
584	12772	9060
585	12795	9039
586	12819	9019
587	12839	8996
588	12861	8974
589	12888	8956
590	12921	8942
591	12956	8929
592	12987	8914
593	13021	8899
594	13055	8886
595	13088	8872
596	13118	8855
597	13140	8833
598	13160	8810
599	13180	8787
600	13198	8762
601	13217	8738
602	13237	8715
603	13257	8692
604	13276	8668
605	13296	8644
606	13318	8623
607	13343	8603
608	13362	8579
609	13380	8554
610	13397	8529
611	13419	8507
612	13438	8484
613	13460	8461
614	13481	8439
615	13502	8417
616	13523	8394
617	13544	8371
618	13568	8351
619	13587	8327
620	13608	8305
621	13626	8281
622	13646	8258
623	13668	8235
624	13684	8210
625	13703	8187
626	13724	8164
627	13746	8142
628	13767	8120
629	13789	8098
630	13812	8077
631	13834	8055
632	13854	8032
633	13878	8011
634	13899	7989
635	13921	7967
636	13949	7949
637	13983	7934
638	14016	7918
639	14050	7903
640	14097	7895
641	14131	7880
642	14165	7865
643	14189	7843
644	14209	7820
645	14228	7797
646	14248	7773
647	14267	7750
648	14288	7727
649	14308	7704
650	14327	7680
651	14347	7657
652	14364	7633
653	14391	7614
654	14412	7591
655	14431	7567
656	14455	7546
657	14473	7522
658	14494	7500
659	14518	7479
660	14537	7455
661	14556	7432
662	14575	7408
663	14594	7385
664	14617	7363
665	14636	7340
666	14655	7316
667	14676	7294
668	14694	7270
669	14716	7248
670	14735	7224
671	14753	7201
672	14774	7178
673	14795	7156
674	14815	7133
675	14833	7109
676	14852	7086
677	14874	7064
678	14895	7041
679	14919	7020
680	14940	6998
681	14960	6975
682	14980	6952
683	15001	6930
684	15026	6909
685	15046	6886
686	15065	6864
687	15085	6841
688	15105	6818
689	15127	6796
690	15146	6773
691	15173	6753
692	15193	6730
693	15212	6707
694	15231	6684
695	15249	6660
696	15267	6637
697	15289	6615
698	15308	6591
699	15328	6569
700	15347	6546
701	15364	6522
702	15384	6499
703	15403	6476
704	15421	6452
705	15442	6430
706	15461	6407
707	15486	6386
708	15505	6363
709	15530	6343
710	15551	6321
711	15569	6297
712	15588	6274
713	15607	6251
714	15626	6228
715	15653	6208
716	15704	6198
717	15728	6177
718	15748	6154
719	15768	6132
720	15788	6109
721	15807	6086
722	15827	6063
723	15845	6040
724	15863	6017
725	15884	5995
726	15903	5972
727	15924	5949
728	15944	5927
729	15968	5906
730	15987	5883
731	16009	5861
732	16030	5839
733	16051	5817
734	16071	5794
735	16088	5770
736	16109	5748
737	16129	5726
738	16148	5703
739	16175	5683
740	16197	5661
741	16219	5639
742	16252	5621
743	16272	5599
744	16292	5576
745	16309	5553
746	16329	5530
747	16350	5508
748	16373	5486
749	16391	5463
750	16411	5441
751	16432	5419
752	16455	5397
753	16474	5374
754	16496	5353
755	16518	5331
756	16538	5308
757	16557	5286
758	16577	5263
759	16595	5240
760	16617	5218
761	16637	5196
762	16655	5173
763	16675	5151
764	16697	5129
765	16719	5107
766	16740	5085
767	16758	5062
768	16776	5039
769	16798	5017
770	16816	4994
771	16835	4972
772	16863	4952
773	16887	4930
774	16912	4910
775	16934	4888
776	16956	4866
777	16979	4844
778	16997	4822
779	17015	4799
780	17036	4777
781	17054	4754
782	17075	4732
783	17095	4710
784	17115	4687
785	17137	4665
786	17157	4643
787	17176	4621
788	17195	4598
789	17214	4575
790	17233	4553
791	17255	4531
792	17275	4509
793	17296	4487
794	17317	4465
795	17336	4443
796	17356	4420
797	17376	4398
798	17396	4376
799	17416	4354
800	17439	4332
801	17459	4310
802	17484	4289
803	17504	4267
804	17524	4245
805	17546	4223
806	17566	4201
807	17586	4178
808	17605	4156
809	17626	4134
810	17649	4113
811	17667	4090
812	17688	4068
813	17707	4046
814	17731	4024
815	17750	4002
816	17769	3980
817	17790	3958
818	17812	3936
819	17833	3914
820	17858	3893
821	17877	3871
822	17897	3849
823	17917	3827
824	17944	3806
825	17963	3784
826	17983	3761
827	18005	3740
828	18024	3718
829	18045	3695
830	18064	3673
831	18084	3651
832	18103	3629
833	18123	3607
834	18144	3585
835	18163	3563
836	18182	3540
837	18206	3519
838	18226	3497
839	18245	3475
840	18271	3454
841	18289	3431
842	18310	3410
843	18330	3388
844	18351	3366
845	18372	3344
846	18391	3322
847	18410	3299
848	18435	3278
849	18456	3257
850	18475	3234
851	18494	3212
852	18516	3191
853	18535	3168
854	18555	3146
855	18575	3124
856	18593	3102
857	18615	3080
858	18635	3058
859	18655	3036
860	18674	3014
861	18697	2993
862	18718	2971
863	18738	2949
864	18758	2927
865	18778	2905
866	18798	2883
867	18818	2861
868	18837	2839
869	18858	2817
870	18879	2796
871	18899	2774
872	18924	2753
873	18946	2731
874	18965	2709
875	18986	2687
876	19008	2665
877	19029	2644
878	19048	2622
879	19067	2600
880	19090	2578
881	19110	2556
882	19130	2534
883	19149	2512
884	19171	2491
885	19191	2469
886	19211	2447
887	19241	2426
888	19260	2404
889	19281	2383
890	19301	2361
891	19318	2339
892	19339	2317
893	19358	2295
894	19378	2273
895	19401	2251
896	19422	2230
897	19443	2208
898	19465	2186
899	19486	2165
900	19505	2143
901	19526	2121
902	19546	2099
903	19566	2077
904	19585	2055
905	19603	2033
906	19623	2012
907	19649	1990
908	19667	1968
909	19687	1947
910	19704	1925
911	19727	1903
912	19748	1881
913	19768	1860
914	19786	1838
915	19813	1816
916	19831	1795
917	19851	1773
918	19872	1751
919	19896	1730
920	19916	1708
921	19939	1686
922	19960	1665
923	19979	1643
924	19999	1621
925	20018	1599
926	20042	1578
927	20063	1556
928	20084	1535
929	20106	1513
930	20126	1491
931	20146	1469
932	20165	1448
933	20188	1426
934	20207	1404
935	20226	1383
936	20245	1361
937	20269	1339
938	20290	1318
939	20310	1296
940	20333	1274
941	20352	1253
942	20375	1231
943	20399	1210
944	20421	1188
945	20444	1167
946	20464	1145
947	20484	1123
948	20504	1101
949	20524	1080
950	20545	1058
951	20566	1036
952	20585	1015
953	20605	993
954	20625	971
955	20645	950
956	20665	928
957	20684	906
958	20704	885
959	20726	863
960	20746	841
961	20767	820
962	20792	798
963	20814	777
964	20834	755
965	20857	734
966	20879	712
967	20900	690
968	20922	669
969	20941	647
970	20961	626
971	20980	604
972	20998	582
973	21018	561
974	21039	539
975	21060	517
976	21079	496
977	21102	474
978	21123	453
979	21142	431
980	21167	409
981	21187	388
982	21206	366
983	21227	345
984	21249	323
985	21267	301
986	21288	280
987	21307	258
988	21325	237
989	21344	215
990	21369	194
991	21389	172
992	21411	150
993	21431	129
994	21451	107
995	21471	86
996	21495	64
997	21515	43
998	21534	21
999	21554	0
