iter	Logloss
0	0.6632835921
1	0.6374373575
2	0.6133439918
3	0.5915595109
4	0.5709522449
5	0.5530219706
6	0.5370543978
7	0.5220132802
8	0.5080615975
9	0.4951198309
10	0.4836296873
11	0.472491341
12	0.4630138927
13	0.4546342171
14	0.4464201396
15	0.4389467642
16	0.4321453073
17	0.4274501017
18	0.4218845101
19	0.4166567752
20	0.4120220014
21	0.4078211297
22	0.4039054078
23	0.4005640779
24	0.3966647244
25	0.3937361209
26	0.3912478085
27	0.3884253985
28	0.3861136651
29	0.384362826
30	0.3822374707
31	0.3802839522
32	0.3785600582
33	0.3768076865
34	0.3743233585
35	0.3730465263
36	0.3719602548
37	0.3707821039
38	0.3692088071
39	0.3680401837
40	0.3671360062
41	0.3661392564
42	0.3653788255
43	0.3645763452
44	0.3637014408
45	0.3626667325
46	0.361211861
47	0.3602007795
48	0.3597808209
49	0.3591287272
50	0.3586010312
51	0.3582850213
52	0.3577849392
53	0.3574263211
54	0.3569416343
55	0.3567383437
56	0.3563068321
57	0.3558521156
58	0.3555181466
59	0.3550001291
60	0.3546777071
61	0.354233419
62	0.3539734813
63	0.3536412834
64	0.3533874102
65	0.3531464867
66	0.3529081353
67	0.352647443
68	0.3525043244
69	0.3520065622
70	0.3511905696
71	0.3509896177
72	0.350794231
73	0.3502083012
74	0.3500021766
75	0.3498325688
76	0.3496514894
77	0.3494759668
78	0.3493267018
79	0.349169541
80	0.348650943
81	0.3484997765
82	0.348249412
83	0.3481522971
84	0.3480271766
85	0.3478309088
86	0.3475476365
87	0.3474018305
88	0.3472683136
89	0.3471888256
90	0.3467636362
91	0.3466158993
92	0.346546773
93	0.3464479204
94	0.3460252902
95	0.3459337885
96	0.3458470662
97	0.3456548833
98	0.3453257964
99	0.3449846354
100	0.3447039032
101	0.3445891282
102	0.3444601864
103	0.3443715565
104	0.3442197205
105	0.3440858555
106	0.3438185977
107	0.3436718532
108	0.3435742499
109	0.3434883236
110	0.3434056727
111	0.3432808035
112	0.3431809458
113	0.3431285642
114	0.3430525194
115	0.3429259586
116	0.3428494911
117	0.34272783
118	0.3425174057
119	0.3424088682
120	0.3422865853
121	0.3421539489
122	0.3420397141
123	0.3419241559
124	0.3417310194
125	0.3416499604
126	0.341576197
127	0.3414896187
128	0.3413397728
129	0.341259011
130	0.3411569697
131	0.3410696276
132	0.3409478396
133	0.3408957237
134	0.3407924122
135	0.3407602019
136	0.3406552045
137	0.3405325679
138	0.3403406446
139	0.3402739062
140	0.340183383
141	0.3400880934
142	0.3400040746
143	0.3399003989
144	0.3398321473
145	0.339735948
146	0.3396785328
147	0.3395613644
148	0.3395082717
